Case Number	Feature Name	Test Case/Scenario	Pre-requisite	Test Steps	Expected Results	Browsers	Status	Remarks	Test Automation
IT-001	Login → Inventory	A valid login establishes the session and hands off to Inventory.	Valid account standard_user/secret_sauce; SauceDemo reachable.	1) Open login page. 2) Enter valid username + password. 3) Click Login.	URL is /inventory.html; inventory container displayed; 6 products listed.	Chrome, Firefox, Edge (Opera skipped)	Pass		Automated — test_it_001_login_hands_off_to_inventory
IT-002	Inventory → Cart (add)	Adding a product on Inventory carries its identity into the Cart.	Logged in on Inventory.	1) Log in. 2) Add first product (note name + price). 3) Confirm button flips to Remove and badge = 1. 4) Open cart.	Cart shows 1 row with same name, price, qty = 1; badge count = 1 survives navigation.	Chrome, Firefox, Edge (Opera skipped)	Pass		Automated — test_it_002_added_product_reaches_cart
IT-003	Inventory → Cart (add)	Multiple distinct products all cross the boundary intact.	Logged in on Inventory.	1) Log in. 2) Add first 3 products (note each name + price). 3) Wait badge = 3. 4) Open cart.	Cart shows 3 rows whose (name, price) set exactly matches products added.	Chrome, Firefox, Edge (Opera skipped)	Pass	Chrome intermittent — href-less onClick-anchor SPA race (also flaky at baseline); reliable on Firefox/Edge.	Automated — test_it_003_multiple_products_reach_cart
IT-004	Cart → Inventory (sync)	Removing a product on the Cart page syncs back: the Inventory button reverts.	Logged in; 1 product added.	1) Log in, add first product, wait badge = 1. 2) Open cart. 3) Click Remove. 4) Continue Shopping to Inventory.	Cart empties, badge = 0; Inventory item button reverts to Add to cart.	Chrome, Firefox, Edge (Opera skipped)	Pass	Chrome intermittent (SPA click race); reliable on Firefox/Edge.	Automated — test_it_004_remove_in_cart_reverts_inventory_button
IT-005	Cart → Inventory (sync)	Reverse direction: removing on Inventory empties the Cart.	Logged in; 1 product added.	1) Log in, add first product, wait badge = 1. 2) Toggle item off from Inventory. 3) Wait badge = 0. 4) Open cart.	Cart is empty.	Chrome, Firefox, Edge (Opera skipped)	Pass	Chrome intermittent (SPA click race); reliable on Firefox/Edge.	Automated — test_it_005_remove_on_inventory_empties_cart
IT-006	Navigation / state persistence	Cart state persists across a Cart ↔ Inventory round trip.	Logged in; 2 products added.	1) Log in, add 2 products, wait badge = 2. 2) Open cart (2 items). 3) Continue Shopping to Inventory.	Badge still 2; both items show Remove on Inventory.	Chrome, Firefox, Edge (Opera skipped)	Pass	Chrome intermittent (SPA click race); reliable on Firefox/Edge.	Automated — test_it_006_state_persists_across_navigation
IT-007	Navigation / state persistence	Reset App State (burger menu) clears the cart badge everywhere.	Logged in; 2 products added.	1) Log in, add 2 products, wait badge = 2. 2) Burger menu → Reset App State. 3) Wait badge to clear.	Cart badge = 0.	Chrome, Firefox, Edge (Opera skipped)	Pass	Known SauceDemo quirk: Reset clears badge but does not repaint inventory buttons until reload — badge is the asserted signal.	Automated — test_it_007_reset_app_state_clears_badge
IT-008	Cart → Checkout (data + totals)	Cart contents flow into the Overview and the totals add up.	Logged in; 2 products added.	1) Log in, add 2 products, open cart. 2) Start checkout, fill info, continue to Overview. 3) Read overview rows and totals.	Overview (name, price) set matches cart; subtotal = sum of item prices; total = subtotal + tax.	Chrome, Firefox, Edge (Opera skipped)	Pass	Chrome intermittent (SPA click race); reliable on Firefox/Edge.	Automated — test_it_008_checkout_overview_matches_cart_and_totals
IT-009	Full end-to-end journey	login → add → cart → checkout → finish → complete → home, asserting each handoff.	Valid account; product available.	1) Log in. 2) Add first product. 3) Open cart (verify item). 4) Checkout: fill info, continue, verify overview + totals. 5) Finish order. 6) Back Home.	Order-complete header shown; after Back Home the cart is empty (badge cleared).	Chrome, Firefox, Edge (Opera skipped)	Pass	End-to-end path; reliable on Firefox/Edge, Chrome intermittent on cart/checkout hops.	Automated — test_it_009_full_purchase_journey
IT-010	Cart persistence across logout	Cart is retained across a logout/login cycle.	Logged in; 1 product added.	1) Log in, add first product, wait badge = 1. 2) Logout via burger menu. 3) Log back in.	Cart badge = 1 (SauceDemo persists cart in browser storage keyed by user).	Chrome, Firefox, Edge (Opera skipped)	Pass	Documents cart-retention behaviour; Chrome intermittent (SPA click race).	Automated — test_it_010_cart_persists_across_logout
